interaction,f1,f2,coef,pval,r2,abs_coef
文化接触×家庭沟通频率,文化接触,家庭沟通频率,-0.026211934197472003,0.0007688794823017939,0.4492541419997782,0.026211934197472003
文化保持×文化接触,文化保持,文化接触,0.025880965671673837,0.0009503605376208236,0.44925197710754816,0.025880965671673837
沟通坦诚度×开放性,沟通坦诚度,开放性,-0.02341007521875508,0.002786859347516976,0.4492410715312535,0.02341007521875508
家庭支持×开放性,家庭支持,开放性,0.019584691748931772,0.010853646363224403,0.44922756005306286,0.019584691748931772
文化接触×家庭支持,文化接触,家庭支持,-0.019086881453004093,0.01398205275980576,0.4492250883110135,0.019086881453004093
文化保持×家庭支持,文化保持,家庭支持,-0.017064371519525817,0.023171832100137398,0.44922021420580005,0.017064371519525817
社会保持×家庭沟通频率,社会保持,家庭沟通频率,-0.014564262872717707,0.06372818238409174,0.44921075057852344,0.014564262872717707
文化接触×自主权,文化接触,自主权,-0.014394563302995517,0.0639357640990827,0.44921072098728754,0.014394563302995517
社会保持×社会联结感,社会保持,社会联结感,-0.01423563447139756,0.06662938449007359,0.44921034604443166,0.01423563447139756
家庭沟通频率×来港时长,家庭沟通频率,来港时长,-0.01203536046342769,0.13477211183971102,0.4492041349755659,0.01203536046342769
沟通坦诚度×来港时长,沟通坦诚度,来港时长,-0.011841013166032258,0.1304212033105331,0.4492044149675224,0.011841013166032258
社会保持×文化接触,社会保持,文化接触,-0.011760059819086583,0.12981164550143404,0.4492044550253622,0.011760059819086583
社会接触×自主权,社会接触,自主权,-0.011198818993448467,0.15344014369933504,0.4492030390558449,0.011198818993448467
文化保持×家庭沟通频率,文化保持,家庭沟通频率,0.009316672112074502,0.23572834269951976,0.44919955889205043,0.009316672112074502
文化保持×社会保持,文化保持,社会保持,-0.008939843259072457,0.23261687390700542,0.44919966261672184,0.008939843259072457
家庭沟通频率×开放性,家庭沟通频率,开放性,0.008823005141901598,0.2624562863648032,0.4491987314499748,0.008823005141901598
社会保持×社会接触,社会保持,社会接触,-0.00549760807218041,0.4836699842316312,0.44919451625938933,0.00549760807218041
家庭支持×家庭沟通频率,家庭支持,家庭沟通频率,0.004871375852218321,0.5304961566254054,0.44919398115624276,0.004871375852218321
家庭沟通频率×沟通坦诚度,家庭沟通频率,沟通坦诚度,0.004300810752625674,0.5558011897898731,0.4491937254675804,0.004300810752625674
社会保持×自主权,社会保持,自主权,0.0036086490930605083,0.6416359021407353,0.44919300702240794,0.0036086490930605083
开放性×来港时长,开放性,来港时长,0.001993373777103913,0.7963689298284262,0.4491921805915633,0.001993373777103913
社会接触×家庭支持,社会接触,家庭支持,0.0016361848453534562,0.8357666334466975,0.44919205052078626,0.0016361848453534562
文化保持×沟通坦诚度,文化保持,沟通坦诚度,-0.0008013954052484961,0.9189899361208719,0.44919187074637257,0.0008013954052484961
文化保持×自主权,文化保持,自主权,0.000489345631281164,0.9502170100135392,0.4491918352359363,0.000489345631281164
文化保持×社会联结感,文化保持,社会联结感,-0.0002940513792026871,0.9700004064957476,0.44919182155370885,0.0002940513792026871
